timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:12:08.4692817+10:00,65, P0, 48.11, 2040, 9001, 6, 0, 1016
2026-09-01T19:12:09.1013750+10:00,64, P0, 44.43, 2040, 9001, 8, 0, 2311
2026-09-01T19:12:09.7497026+10:00,64, P0, 42.69, 2355, 9001, 38, 1, 5679
2026-09-01T19:12:10.3713099+10:00,65, P0, 46.94, 2355, 9001, 37, 1, 6121
2026-09-01T19:12:11.0337140+10:00,71, P0, 106.43, 2160, 9001, 98, 95, 6137
2026-09-01T19:12:11.6427843+10:00,72, P0, 169.95, 2190, 9001, 97, 94, 6137
2026-09-01T19:12:12.2572897+10:00,72, P0, 174.93, 2235, 9001, 94, 90, 1255
2026-09-01T19:12:12.9291783+10:00,66, P0, 77.90, 2355, 9001, 6, 0, 1255
