timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:13:04.0354838+10:00,72, P0, 51.94, 2340, 9001, 5, 0, 1016
2026-09-01T19:13:04.6400691+10:00,72, P0, 51.85, 2040, 9001, 6, 0, 1223
2026-09-01T19:13:05.2453561+10:00,72, P0, 50.56, 2340, 9001, 46, 2, 5679
2026-09-01T19:13:05.8178488+10:00,72, P0, 51.69, 2355, 9001, 37, 1, 5679
2026-09-01T19:13:06.4261153+10:00,72, P0, 54.47, 2355, 9001, 36, 1, 6635
2026-09-01T19:13:07.0024940+10:00,76, P0, 151.96, 2340, 9001, 96, 26, 6635
2026-09-01T19:13:07.5761577+10:00,78, P0, 159.11, 2130, 9001, 97, 94, 6645
2026-09-01T19:13:08.1810096+10:00,79, P0, 159.80, 1995, 9001, 97, 100, 6645
2026-09-01T19:13:08.7828704+10:00,79, P0, 175.05, 2010, 9001, 97, 100, 1259
2026-09-01T19:13:09.3719912+10:00,74, P0, 144.09, 2340, 9001, 5, 0, 1263
