timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:12:51.7801570+10:00,71, P0, 51.21, 2355, 9001, 5, 0, 1016
2026-09-01T19:12:52.4109073+10:00,71, P0, 51.05, 2355, 9001, 8, 0, 1223
2026-09-01T19:12:53.0181648+10:00,71, P0, 48.79, 2355, 9001, 38, 1, 5679
2026-09-01T19:12:53.6048486+10:00,71, P0, 52.02, 2355, 9001, 36, 1, 5679
2026-09-01T19:12:54.2419314+10:00,78, P0, 72.88, 1935, 9001, 100, 30, 6349
2026-09-01T19:12:54.8293131+10:00,79, P0, 133.35, 1920, 9001, 100, 29, 6355
2026-09-01T19:12:55.4348110+10:00,78, P0, 169.10, 2205, 9001, 97, 82, 6355
2026-09-01T19:12:56.0431009+10:00,78, P0, 175.65, 2160, 9001, 96, 86, 6355
2026-09-01T19:12:56.6811113+10:00,78, P0, 174.53, 2340, 9001, 96, 86, 1255
2026-09-01T19:12:57.3638583+10:00,72, P0, 123.84, 2340, 9001, 6, 0, 1255
