timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:15:59.9534402+10:00,83, P0, 60.60, 2340, 9001, 1, 0, 1126
2026-09-01T19:16:00.5711818+10:00,82, P0, 60.66, 2340, 9001, 2, 1, 1342
2026-09-01T19:16:01.1767744+10:00,82, P0, 58.01, 2340, 9001, 67, 7, 5798
2026-09-01T19:16:01.7805475+10:00,82, P0, 58.38, 2340, 9001, 29, 1, 5796
2026-09-01T19:16:02.3848707+10:00,82, P0, 61.44, 2340, 9001, 26, 1, 8625
2026-09-01T19:16:03.0203766+10:00,88, P0, 113.48, 1590, 9001, 100, 27, 8618
2026-09-01T19:16:03.6255443+10:00,87, P0, 152.13, 1620, 9001, 100, 26, 8612
2026-09-01T19:16:04.2330197+10:00,88, P0, 147.23, 1590, 9001, 100, 25, 8612
2026-09-01T19:16:04.8537920+10:00,88, P0, 146.20, 1590, 9001, 100, 25, 8612
2026-09-01T19:16:05.4447065+10:00,88, P0, 146.00, 1590, 9001, 100, 24, 8612
2026-09-01T19:16:06.0368868+10:00,89, P0, 148.97, 1590, 9001, 100, 24, 8612
2026-09-01T19:16:06.6295019+10:00,88, P0, 149.51, 1590, 9001, 100, 27, 8554
2026-09-01T19:16:07.2180912+10:00,88, P0, 150.40, 1590, 9001, 100, 29, 8576
2026-09-01T19:16:07.8198294+10:00,89, P0, 152.96, 1590, 9001, 100, 37, 8570
2026-09-01T19:16:08.4121078+10:00,89, P0, 155.45, 1590, 9001, 100, 42, 8571
2026-09-01T19:16:09.0010199+10:00,89, P0, 159.59, 1590, 9001, 100, 51, 8571
2026-09-01T19:16:09.6079488+10:00,89, P0, 159.49, 1590, 9001, 100, 53, 8571
2026-09-01T19:16:10.2125862+10:00,89, P0, 161.13, 1590, 9001, 100, 56, 8571
2026-09-01T19:16:10.8058761+10:00,89, P0, 160.81, 1590, 9001, 100, 57, 8544
2026-09-01T19:16:11.4084413+10:00,89, P0, 159.73, 1560, 9001, 100, 61, 8555
2026-09-01T19:16:11.9977276+10:00,89, P0, 158.35, 1515, 9001, 100, 63, 8555
2026-09-01T19:16:12.5914497+10:00,89, P0, 158.09, 1575, 9001, 100, 66, 8546
2026-09-01T19:16:13.1825433+10:00,89, P0, 159.72, 1590, 9001, 100, 65, 8546
2026-09-01T19:16:13.7743676+10:00,89, P0, 162.46, 1545, 9001, 100, 68, 8546
2026-09-01T19:16:14.3658166+10:00,88, P0, 162.35, 1590, 9001, 100, 69, 8546
2026-09-01T19:16:14.9694577+10:00,85, P0, 148.62, 2340, 9001, 0, 1, 8546
2026-09-01T19:16:15.5576993+10:00,87, P0, 105.93, 1725, 9001, 96, 7, 8562
2026-09-01T19:16:16.1519193+10:00,88, P0, 115.04, 1590, 9001, 98, 77, 8562
2026-09-01T19:16:16.7446943+10:00,89, P0, 164.74, 1590, 9001, 98, 80, 8553
2026-09-01T19:16:17.3505302+10:00,89, P0, 171.82, 1590, 9001, 99, 80, 8553
2026-09-01T19:16:17.9419538+10:00,89, P0, 173.88, 1590, 9001, 98, 80, 7787
2026-09-01T19:16:18.5819168+10:00,84, P0, 130.02, 2340, 9001, 0, 0, 1311
