timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:11:52.5822582+10:00,62, P0, 55.53, 2355, 9001, 6, 0, 1013
2026-09-01T19:11:53.1910323+10:00,62, P0, 47.18, 2355, 9001, 6, 0, 1223
2026-09-01T19:11:53.7947520+10:00,62, P0, 46.04, 2040, 9001, 7, 0, 5679
2026-09-01T19:11:54.3726946+10:00,62, P0, 46.51, 2355, 9001, 38, 1, 5679
2026-09-01T19:11:54.9811574+10:00,67, P0, 65.58, 2265, 9001, 86, 31, 6087
2026-09-01T19:11:55.5724528+10:00,69, P0, 121.64, 2190, 9001, 98, 91, 6087
2026-09-01T19:11:56.1601060+10:00,69, P0, 174.84, 2160, 9001, 97, 89, 6087
2026-09-01T19:11:56.7630224+10:00,67, P0, 174.75, 2355, 9001, 91, 85, 1255
2026-09-01T19:11:57.4140984+10:00,63, P0, 59.26, 2355, 9001, 6, 0, 1255
