timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:12:19.1227160+10:00,66, P0, 48.60, 2355, 9001, 6, 0, 1016
2026-09-01T19:12:19.7065530+10:00,66, P0, 42.70, 2040, 9001, 24, 1, 1223
2026-09-01T19:12:20.2952578+10:00,66, P0, 40.64, 2040, 9001, 72, 7, 5679
2026-09-01T19:12:20.8961797+10:00,66, P0, 45.93, 2355, 9001, 31, 1, 5679
2026-09-01T19:12:21.5108884+10:00,72, P0, 72.41, 2220, 9001, 83, 68, 6087
2026-09-01T19:12:22.1143989+10:00,73, P0, 138.70, 2205, 9001, 98, 91, 6087
2026-09-01T19:12:22.7451064+10:00,73, P0, 172.54, 2175, 9001, 96, 89, 6087
2026-09-01T19:12:23.3495494+10:00,70, P0, 167.39, 2355, 9001, 35, 28, 1255
2026-09-01T19:12:23.9687061+10:00,67, P0, 53.17, 2355, 9001, 6, 0, 1013
