timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:12:13.6390045+10:00,66, P0, 48.47, 2355, 9001, 6, 0, 1016
2026-09-01T19:12:14.2570664+10:00,65, P0, 47.32, 2040, 9001, 26, 1, 1223
2026-09-01T19:12:14.8294858+10:00,65, P0, 45.17, 2355, 9001, 93, 10, 5679
2026-09-01T19:12:15.4313262+10:00,66, P0, 46.25, 2355, 9001, 37, 1, 5679
2026-09-01T19:12:16.0022463+10:00,72, P0, 85.98, 2205, 9001, 97, 88, 6087
2026-09-01T19:12:16.6084389+10:00,73, P0, 150.16, 2235, 9001, 98, 90, 6087
2026-09-01T19:12:17.2293609+10:00,72, P0, 174.97, 2205, 9001, 97, 89, 5819
2026-09-01T19:12:17.8675880+10:00,68, P0, 158.95, 2355, 9001, 6, 0, 1255
2026-09-01T19:12:18.4848894+10:00,67, P0, 49.23, 2355, 9001, 6, 0, 1255
