timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:12:02.9712433+10:00,64, P0, 47.90, 2355, 9001, 6, 0, 1016
2026-09-01T19:12:03.5468419+10:00,64, P0, 47.87, 2355, 9001, 6, 0, 1223
2026-09-01T19:12:04.1525739+10:00,64, P0, 48.28, 2355, 9001, 39, 1, 5679
2026-09-01T19:12:04.7264315+10:00,64, P0, 49.28, 2355, 9001, 37, 1, 5679
2026-09-01T19:12:05.3014381+10:00,69, P0, 51.72, 1980, 9001, 45, 13, 6137
2026-09-01T19:12:05.9097693+10:00,71, P0, 105.45, 2280, 9001, 98, 90, 6137
2026-09-01T19:12:06.5277924+10:00,72, P0, 174.68, 2205, 9001, 97, 93, 5519
2026-09-01T19:12:07.1491179+10:00,66, P0, 132.29, 2355, 9001, 6, 0, 1255
2026-09-01T19:12:07.7679406+10:00,65, P0, 75.83, 2355, 9001, 6, 0, 1205
