timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:17:36.8248060+10:00,84, P0, 96.10, 2340, 9001, 0, 1, 1106
2026-09-01T19:17:37.4625851+10:00,84, P0, 60.99, 2340, 9001, 0, 0, 1313
2026-09-01T19:17:38.0517059+10:00,83, P0, 59.22, 2310, 9001, 28, 1, 5791
2026-09-01T19:17:38.6596667+10:00,83, P0, 59.49, 2310, 9001, 27, 1, 5797
2026-09-01T19:17:39.2520886+10:00,83, P0, 61.65, 2310, 9001, 29, 1, 10786
2026-09-01T19:17:39.8579430+10:00,89, P0, 90.99, 1740, 9001, 100, 27, 10786
2026-09-01T19:17:40.4466336+10:00,89, P0, 139.60, 1590, 9001, 100, 24, 10709
2026-09-01T19:17:41.0528424+10:00,89, P0, 143.50, 1590, 9001, 99, 23, 10721
2026-09-01T19:17:41.6748439+10:00,89, P0, 141.74, 1590, 9001, 99, 23, 10721
2026-09-01T19:17:42.2830464+10:00,89, P0, 142.12, 1590, 9001, 99, 23, 10721
2026-09-01T19:17:42.8857220+10:00,89, P0, 143.08, 1590, 9001, 99, 22, 10721
2026-09-01T19:17:43.4909758+10:00,89, P0, 141.13, 1575, 9001, 99, 23, 10721
2026-09-01T19:17:44.1233554+10:00,89, P0, 141.56, 1575, 9001, 100, 30, 10715
2026-09-01T19:17:44.7282264+10:00,88, P0, 142.49, 1590, 9001, 99, 33, 10716
2026-09-01T19:17:45.3341566+10:00,89, P0, 145.23, 1590, 9001, 100, 40, 10716
2026-09-01T19:17:45.9401504+10:00,89, P0, 147.37, 1590, 9001, 100, 44, 10716
2026-09-01T19:17:46.5456985+10:00,88, P0, 149.08, 1500, 9001, 100, 51, 10716
2026-09-01T19:17:47.1506350+10:00,89, P0, 150.51, 1590, 9001, 100, 52, 10710
2026-09-01T19:17:47.7556788+10:00,89, P0, 151.02, 1575, 9001, 100, 54, 10715
2026-09-01T19:17:48.3730325+10:00,89, P0, 148.18, 1455, 9001, 100, 55, 10715
2026-09-01T19:17:48.9757311+10:00,89, P0, 144.89, 1440, 9001, 99, 58, 10715
2026-09-01T19:17:49.5833382+10:00,88, P0, 144.33, 1500, 9001, 99, 52, 10724
2026-09-01T19:17:50.2163879+10:00,89, P0, 145.29, 1500, 9001, 100, 61, 10724
2026-09-01T19:17:50.8351420+10:00,88, P0, 145.57, 1485, 9001, 100, 62, 10722
2026-09-01T19:17:51.4244494+10:00,89, P0, 147.97, 1515, 9001, 100, 64, 10722
2026-09-01T19:17:52.0716677+10:00,89, P0, 148.95, 1425, 9001, 100, 70, 10774
2026-09-01T19:17:52.7052523+10:00,84, P0, 114.20, 2340, 9001, 2, 0, 10769
2026-09-01T19:17:53.3240263+10:00,82, P0, 63.57, 780, 9001, 1, 0, 10769
2026-09-01T19:17:53.9489309+10:00,84, P0, 73.30, 855, 9001, 98, 78, 10775
2026-09-01T19:17:54.6153869+10:00,85, P0, 110.15, 930, 9001, 97, 83, 10774
2026-09-01T19:17:55.2849002+10:00,85, P0, 122.46, 1020, 9001, 98, 88, 10775
2026-09-01T19:17:55.9520786+10:00,85, P0, 127.38, 1155, 9001, 97, 95, 10754
2026-09-01T19:17:56.6367885+10:00,88, P0, 145.79, 1800, 9001, 97, 100, 1316
2026-09-01T19:17:57.3628978+10:00,84, P0, 124.07, 2340, 9001, 4, 0, 1316
2026-09-01T19:17:57.9931808+10:00,83, P0, 60.15, 2340, 9001, 4, 1, 1326
