timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:14:00.0410242+10:00,76, P0, 53.82, 2340, 9001, 0, 0, 992
2026-09-01T19:14:00.6229237+10:00,75, P0, 47.37, 2040, 9001, 14, 1, 1240
2026-09-01T19:14:01.2086708+10:00,75, P0, 45.51, 2040, 9001, 38, 1, 5697
2026-09-01T19:14:01.8151540+10:00,75, P0, 52.80, 2340, 9001, 34, 1, 5694
2026-09-01T19:14:02.4024757+10:00,75, P0, 55.99, 2340, 9001, 37, 2, 7281
2026-09-01T19:14:02.9954525+10:00,83, P0, 161.76, 1740, 9001, 100, 28, 7281
2026-09-01T19:14:03.5715799+10:00,84, P0, 175.09, 1800, 9001, 100, 27, 7281
2026-09-01T19:14:04.1496494+10:00,84, P0, 174.01, 1740, 9001, 100, 26, 7272
2026-09-01T19:14:04.7403422+10:00,84, P0, 175.69, 1785, 9001, 100, 27, 7271
2026-09-01T19:14:05.3156166+10:00,84, P0, 174.21, 1740, 9001, 100, 26, 7270
2026-09-01T19:14:05.8896571+10:00,85, P0, 174.70, 1845, 9001, 100, 27, 7261
2026-09-01T19:14:06.4634092+10:00,84, P0, 174.21, 1725, 9001, 100, 28, 7261
2026-09-01T19:14:07.0378019+10:00,82, P0, 145.29, 1905, 9001, 99, 81, 7266
2026-09-01T19:14:07.6189326+10:00,83, P0, 150.00, 1725, 9001, 98, 89, 7267
2026-09-01T19:14:08.1953675+10:00,83, P0, 174.23, 1905, 9001, 99, 81, 7265
2026-09-01T19:14:08.8027990+10:00,83, P0, 175.18, 1785, 9001, 98, 83, 1247
