timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:12:39.2840706+10:00,69, P0, 67.06, 2340, 9001, 7, 0, 1016
2026-09-01T19:12:39.9149918+10:00,69, P0, 49.65, 2340, 9001, 7, 0, 3015
2026-09-01T19:12:40.5519921+10:00,69, P0, 49.33, 2355, 9001, 39, 1, 5679
2026-09-01T19:12:41.1753049+10:00,69, P0, 51.23, 2355, 9001, 38, 1, 6625
2026-09-01T19:12:41.7945133+10:00,76, P0, 69.72, 1980, 9001, 100, 29, 6635
2026-09-01T19:12:42.4013784+10:00,78, P0, 126.21, 1935, 9001, 100, 27, 6641
2026-09-01T19:12:43.0217244+10:00,76, P0, 148.43, 2130, 9001, 97, 93, 6641
2026-09-01T19:12:43.6417044+10:00,76, P0, 170.05, 2055, 9001, 97, 93, 6641
2026-09-01T19:12:44.2622142+10:00,77, P0, 174.93, 2130, 9001, 97, 95, 1255
2026-09-01T19:12:44.8909781+10:00,71, P0, 129.74, 2340, 9001, 6, 0, 1255
