timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:13:33.0327488+10:00,73, P0, 51.56, 2340, 9001, 0, 0, 991
2026-09-01T19:13:33.6259518+10:00,73, P0, 48.93, 2040, 9001, 0, 0, 1198
2026-09-01T19:13:34.2155836+10:00,73, P0, 48.74, 2340, 9001, 35, 1, 5654
2026-09-01T19:13:34.7960642+10:00,73, P0, 52.02, 2340, 9001, 32, 1, 5656
2026-09-01T19:13:35.4118644+10:00,73, P0, 57.51, 2340, 9001, 47, 17, 6326
2026-09-01T19:13:35.9890898+10:00,79, P0, 163.02, 1995, 9001, 98, 96, 6332
2026-09-01T19:13:36.5926258+10:00,80, P0, 170.25, 1995, 9001, 95, 92, 6332
2026-09-01T19:13:37.2095929+10:00,79, P0, 176.11, 1905, 9001, 96, 92, 6332
2026-09-01T19:13:37.8342873+10:00,77, P0, 162.82, 2340, 9001, 10, 7, 1233
2026-09-01T19:13:38.4890878+10:00,74, P0, 53.59, 2340, 9001, 2, 0, 1233
