timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:11:58.0937698+10:00,63, P0, 47.57, 2355, 9001, 6, 0, 1016
2026-09-01T19:11:58.7104298+10:00,62, P0, 45.46, 2040, 9001, 17, 1, 1223
2026-09-01T19:11:59.2831851+10:00,63, P0, 43.73, 2235, 9001, 48, 3, 5679
2026-09-01T19:11:59.8690235+10:00,63, P0, 46.04, 2355, 9001, 40, 1, 5679
2026-09-01T19:12:00.4763656+10:00,69, P0, 80.59, 2280, 9001, 98, 87, 6087
2026-09-01T19:12:01.0624500+10:00,70, P0, 136.24, 2235, 9001, 98, 91, 6087
2026-09-01T19:12:01.6708852+10:00,71, P0, 175.42, 2250, 9001, 97, 90, 6087
2026-09-01T19:12:02.2899575+10:00,66, P0, 162.85, 2355, 9001, 6, 0, 1255
