timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:29:25.8839395+10:00,69, P0, 126.26, 2355, 9001, 6, 0, 971
2026-09-01T19:29:26.4909110+10:00,68, P0, 68.75, 2355, 9001, 21, 1, 1178
2026-09-01T19:29:27.0951503+10:00,68, P0, 49.87, 2040, 9001, 38, 1, 5634
2026-09-01T19:29:27.6846296+10:00,68, P0, 50.89, 2355, 9001, 37, 1, 5639
2026-09-01T19:29:28.2761500+10:00,68, P0, 51.60, 2355, 9001, 36, 1, 7014
2026-09-01T19:29:28.8675347+10:00,74, P0, 67.24, 1965, 9001, 88, 27, 7024
2026-09-01T19:29:29.4404297+10:00,77, P0, 123.90, 1935, 9001, 99, 29, 7024
2026-09-01T19:29:30.0278719+10:00,78, P0, 175.02, 1920, 9001, 100, 28, 7024
2026-09-01T19:29:30.6186785+10:00,77, P0, 173.93, 1830, 9001, 99, 26, 7018
2026-09-01T19:29:31.2198300+10:00,77, P0, 174.50, 2055, 9001, 97, 86, 7023
2026-09-01T19:29:31.8249572+10:00,77, P0, 174.16, 1995, 9001, 97, 85, 7023
2026-09-01T19:29:32.4280695+10:00,77, P0, 174.97, 2040, 9001, 96, 85, 7024
2026-09-01T19:29:33.0475023+10:00,71, P0, 122.60, 2340, 9001, 6, 0, 1102
