timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:29:18.6282139+10:00,66, P0, 72.11, 2355, 9001, 6, 0, 970
2026-09-01T19:29:19.2249817+10:00,65, P0, 48.68, 2355, 9001, 6, 0, 1183
2026-09-01T19:29:19.8300475+10:00,65, P0, 48.41, 2040, 9001, 39, 4, 5639
2026-09-01T19:29:20.4477837+10:00,65, P0, 49.32, 2355, 9001, 37, 1, 5640
2026-09-01T19:29:21.0350420+10:00,65, P0, 50.58, 2355, 9001, 37, 1, 7024
2026-09-01T19:29:21.6247725+10:00,75, P0, 118.13, 1950, 9001, 99, 29, 7024
2026-09-01T19:29:22.2292257+10:00,74, P0, 170.10, 1845, 9001, 99, 27, 7024
2026-09-01T19:29:22.8512148+10:00,75, P0, 174.61, 1920, 9001, 99, 27, 7018
2026-09-01T19:29:23.4551369+10:00,75, P0, 173.76, 1875, 9001, 99, 26, 7023
2026-09-01T19:29:24.0588271+10:00,74, P0, 173.71, 2010, 9001, 96, 85, 7023
2026-09-01T19:29:24.6617195+10:00,74, P0, 174.53, 2040, 9001, 96, 85, 7024
2026-09-01T19:29:25.2525897+10:00,75, P0, 174.57, 2055, 9001, 96, 85, 1218
