timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:21:15.7740279+10:00,74, P0, 120.36, 2340, 9001, 6, 0, 1151
2026-09-01T19:21:16.3747342+10:00,74, P0, 65.61, 2340, 9001, 6, 0, 1359
2026-09-01T19:21:17.0124992+10:00,73, P0, 55.04, 2340, 9001, 37, 1, 5820
2026-09-01T19:21:17.6174007+10:00,73, P0, 56.16, 2340, 9001, 37, 1, 5820
2026-09-01T19:21:18.2108277+10:00,80, P0, 69.08, 1905, 9001, 94, 28, 6776
2026-09-01T19:21:18.8023472+10:00,82, P0, 124.72, 1845, 9001, 100, 27, 6782
2026-09-01T19:21:19.4232871+10:00,80, P0, 161.40, 2085, 9001, 96, 95, 6782
2026-09-01T19:21:20.0074838+10:00,80, P0, 176.13, 2085, 9001, 98, 95, 6776
2026-09-01T19:21:20.6158646+10:00,77, P0, 171.50, 2340, 9001, 70, 66, 1390
