timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:20:48.4380144+10:00,68, P0, 124.04, 2355, 9001, 6, 0, 1157
2026-09-01T19:20:49.0299770+10:00,67, P0, 49.50, 2355, 9001, 6, 0, 1364
2026-09-01T19:20:49.6377501+10:00,68, P0, 51.47, 2355, 9001, 38, 1, 5820
2026-09-01T19:20:50.2276021+10:00,67, P0, 52.37, 2355, 9001, 37, 1, 5820
2026-09-01T19:20:50.8181879+10:00,73, P0, 53.64, 1935, 9001, 51, 15, 6771
2026-09-01T19:20:51.4264404+10:00,76, P0, 109.95, 1935, 9001, 99, 29, 6777
2026-09-01T19:20:52.0308259+10:00,75, P0, 163.34, 2145, 9001, 98, 97, 6782
2026-09-01T19:20:52.6370626+10:00,75, P0, 168.94, 2040, 9001, 98, 96, 6782
2026-09-01T19:20:53.2395208+10:00,75, P0, 174.77, 2340, 9001, 98, 97, 1396
