timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:23:29.6634120+10:00,84, P0, 61.59, 2340, 9001, 7, 0, 1165
2026-09-01T19:23:30.2927631+10:00,83, P0, 61.27, 2040, 9001, 9, 0, 1372
2026-09-01T19:23:30.8947413+10:00,83, P0, 56.78, 2040, 9001, 6, 0, 5828
2026-09-01T19:23:31.5137598+10:00,83, P0, 59.70, 2340, 9001, 31, 1, 5826
2026-09-01T19:23:32.1325193+10:00,83, P0, 62.52, 2340, 9001, 27, 1, 8600
2026-09-01T19:23:32.7391757+10:00,89, P0, 89.25, 1725, 9001, 99, 27, 8640
2026-09-01T19:23:33.3472251+10:00,88, P0, 127.59, 1590, 9001, 99, 24, 8640
2026-09-01T19:23:33.9645180+10:00,88, P0, 142.85, 1590, 9001, 100, 24, 8639
2026-09-01T19:23:34.5862352+10:00,88, P0, 139.27, 1590, 9001, 99, 24, 8637
2026-09-01T19:23:35.1951366+10:00,88, P0, 139.53, 1590, 9001, 99, 23, 8627
2026-09-01T19:23:35.8038957+10:00,88, P0, 139.62, 1590, 9001, 99, 23, 8627
2026-09-01T19:23:36.4400084+10:00,89, P0, 140.16, 1590, 9001, 100, 23, 8627
2026-09-01T19:23:37.0425796+10:00,89, P0, 142.29, 1590, 9001, 100, 25, 8632
2026-09-01T19:23:37.6660559+10:00,89, P0, 144.18, 1590, 9001, 99, 32, 8633
2026-09-01T19:23:38.3008521+10:00,89, P0, 146.68, 1590, 9001, 100, 37, 8633
2026-09-01T19:23:38.9320236+10:00,89, P0, 147.05, 1575, 9001, 100, 40, 8633
2026-09-01T19:23:39.5647312+10:00,89, P0, 144.78, 1575, 9001, 99, 47, 8628
2026-09-01T19:23:40.1671356+10:00,89, P0, 145.28, 1545, 9001, 99, 48, 8628
2026-09-01T19:23:40.7737253+10:00,89, P0, 146.88, 1560, 9001, 99, 51, 8632
2026-09-01T19:23:41.3819532+10:00,88, P0, 146.25, 1545, 9001, 99, 53, 8632
2026-09-01T19:23:41.9984453+10:00,89, P0, 144.71, 1545, 9001, 100, 55, 8632
2026-09-01T19:23:42.6026852+10:00,89, P0, 144.70, 1545, 9001, 100, 56, 8632
2026-09-01T19:23:43.2067645+10:00,89, P0, 145.42, 1515, 9001, 100, 57, 8627
2026-09-01T19:23:43.8132054+10:00,89, P0, 145.89, 1515, 9001, 100, 60, 8627
2026-09-01T19:23:44.4360634+10:00,89, P0, 146.22, 1515, 9001, 100, 61, 8627
2026-09-01T19:23:45.0391703+10:00,89, P0, 148.01, 1545, 9001, 100, 63, 8632
2026-09-01T19:23:45.6449831+10:00,89, P0, 148.43, 1545, 9001, 99, 65, 8632
2026-09-01T19:23:46.2964732+10:00,89, P0, 147.29, 1515, 9001, 100, 65, 8632
2026-09-01T19:23:46.9611170+10:00,88, P0, 88.61, 1590, 9001, 98, 77, 8638
2026-09-01T19:23:47.6597313+10:00,89, P0, 128.53, 1590, 9001, 99, 73, 8633
2026-09-01T19:23:48.2818520+10:00,89, P0, 161.06, 1590, 9001, 99, 72, 8633
2026-09-01T19:23:48.8886676+10:00,89, P0, 161.08, 1590, 9001, 98, 72, 8638
2026-09-01T19:23:49.4928679+10:00,88, P0, 158.63, 1545, 9001, 98, 70, 8638
2026-09-01T19:23:50.1260340+10:00,85, P0, 132.12, 2340, 9001, 6, 0, 1396
