timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:20:37.5648805+10:00,63, P0, 70.04, 2355, 9001, 6, 0, 1157
2026-09-01T19:20:38.1604831+10:00,63, P0, 48.24, 2355, 9001, 6, 0, 1364
2026-09-01T19:20:38.7835331+10:00,64, P0, 49.50, 2355, 9001, 52, 4, 5814
2026-09-01T19:20:39.3546990+10:00,64, P0, 50.50, 2355, 9001, 38, 1, 5814
2026-09-01T19:20:39.9279780+10:00,64, P0, 50.82, 2355, 9001, 37, 1, 6490
2026-09-01T19:20:40.5021976+10:00,68, P0, 152.36, 2205, 9001, 83, 25, 6496
2026-09-01T19:20:41.1064065+10:00,72, P0, 168.59, 2145, 9001, 98, 89, 6496
2026-09-01T19:20:41.7485486+10:00,71, P0, 168.51, 2085, 9001, 98, 88, 6490
2026-09-01T19:20:42.3347593+10:00,72, P0, 175.20, 2100, 9001, 98, 89, 1390
