timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:20:32.0126646+10:00,59, P8, 8.56, 210, 405, 32, 7, 1157
2026-09-01T19:20:32.6303006+10:00,60, P0, 14.06, 2040, 9001, 7, 0, 2580
2026-09-01T19:20:33.2823944+10:00,60, P0, 30.43, 2355, 9001, 38, 1, 5820
2026-09-01T19:20:33.8992846+10:00,61, P0, 46.26, 2355, 9001, 38, 1, 6742
2026-09-01T19:20:34.5218049+10:00,70, P0, 104.56, 1950, 9001, 99, 29, 6770
2026-09-01T19:20:35.1274775+10:00,66, P0, 158.58, 2355, 9001, 39, 1, 6776
2026-09-01T19:20:35.7304093+10:00,69, P0, 160.45, 2190, 9001, 98, 97, 6782
2026-09-01T19:20:36.3376508+10:00,69, P0, 163.62, 2085, 9001, 98, 96, 6782
2026-09-01T19:20:36.9553409+10:00,70, P0, 175.08, 2160, 9001, 98, 97, 1396
