timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:22:47.1689739+10:00,83, P0, 60.77, 2340, 9001, 6, 0, 1152
2026-09-01T19:22:47.8045137+10:00,82, P0, 58.66, 855, 9001, 13, 0, 1359
2026-09-01T19:22:48.4066649+10:00,82, P0, 53.55, 2040, 9001, 6, 0, 5815
2026-09-01T19:22:49.0128394+10:00,82, P0, 59.83, 2340, 9001, 31, 1, 5820
2026-09-01T19:22:49.6152584+10:00,82, P0, 61.86, 2340, 9001, 29, 1, 6716
2026-09-01T19:22:50.2386408+10:00,88, P0, 82.69, 1830, 9001, 99, 27, 10809
2026-09-01T19:22:50.8458828+10:00,87, P0, 128.94, 1590, 9001, 100, 24, 10809
2026-09-01T19:22:51.4513977+10:00,87, P0, 146.87, 1590, 9001, 99, 22, 10809
2026-09-01T19:22:52.0560025+10:00,88, P0, 138.98, 1590, 9001, 99, 23, 10808
2026-09-01T19:22:52.6759807+10:00,88, P0, 139.69, 1590, 9001, 99, 21, 10808
2026-09-01T19:22:53.2979072+10:00,88, P0, 140.05, 1590, 9001, 99, 21, 10809
2026-09-01T19:22:53.9223958+10:00,88, P0, 140.46, 1590, 9001, 99, 22, 10809
2026-09-01T19:22:54.5406815+10:00,88, P0, 141.93, 1590, 9001, 99, 24, 10809
2026-09-01T19:22:55.1628998+10:00,88, P0, 144.02, 1590, 9001, 100, 30, 10809
2026-09-01T19:22:55.7848472+10:00,88, P0, 146.82, 1590, 9001, 99, 36, 10803
2026-09-01T19:22:56.4091669+10:00,88, P0, 149.15, 1590, 9001, 100, 42, 10803
2026-09-01T19:22:57.0297494+10:00,89, P0, 151.86, 1590, 9001, 100, 47, 10808
2026-09-01T19:22:57.6652694+10:00,89, P0, 152.43, 1590, 9001, 99, 50, 10808
2026-09-01T19:22:58.2847895+10:00,89, P0, 153.14, 1590, 9001, 99, 52, 10809
2026-09-01T19:22:58.9397434+10:00,89, P0, 153.93, 1590, 9001, 99, 55, 10809
2026-09-01T19:22:59.5586792+10:00,89, P0, 155.29, 1590, 9001, 99, 55, 10809
2026-09-01T19:23:00.1980344+10:00,89, P0, 154.38, 1545, 9001, 100, 57, 10802
2026-09-01T19:23:00.8208519+10:00,89, P0, 151.08, 1545, 9001, 100, 58, 10808
2026-09-01T19:23:01.4410628+10:00,88, P0, 149.90, 1530, 9001, 100, 61, 10808
2026-09-01T19:23:02.0632093+10:00,88, P0, 151.87, 1545, 9001, 100, 64, 10808
2026-09-01T19:23:02.6688224+10:00,89, P0, 152.73, 1545, 9001, 100, 64, 10808
2026-09-01T19:23:03.2761480+10:00,85, P0, 146.85, 2340, 9001, 42, 25, 10808
2026-09-01T19:23:03.9113565+10:00,84, P0, 105.59, 2340, 9001, 6, 0, 10807
2026-09-01T19:23:04.5650931+10:00,88, P0, 84.06, 1905, 9001, 98, 100, 10808
2026-09-01T19:23:05.2247746+10:00,88, P0, 131.71, 1665, 9001, 98, 99, 10814
2026-09-01T19:23:05.8428527+10:00,87, P0, 164.66, 1590, 9001, 98, 98, 10814
2026-09-01T19:23:06.4804845+10:00,87, P0, 152.50, 1590, 9001, 98, 98, 10814
2026-09-01T19:23:07.1058389+10:00,87, P0, 152.43, 1590, 9001, 98, 98, 1391
2026-09-01T19:23:07.7389669+10:00,84, P0, 120.48, 2340, 9001, 6, 0, 1391
