timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:21:21.2374519+10:00,75, P0, 116.81, 2340, 9001, 6, 0, 1157
2026-09-01T19:21:21.8420321+10:00,75, P0, 62.01, 2340, 9001, 6, 0, 1364
2026-09-01T19:21:22.4447377+10:00,74, P0, 54.24, 2340, 9001, 6, 0, 5820
2026-09-01T19:21:23.0330492+10:00,74, P0, 56.94, 2340, 9001, 36, 1, 5820
2026-09-01T19:21:23.6232135+10:00,82, P0, 78.46, 1950, 9001, 59, 22, 6485
2026-09-01T19:21:24.2132840+10:00,83, P0, 131.43, 1875, 9001, 99, 28, 6485
2026-09-01T19:21:24.8186652+10:00,81, P0, 174.04, 2070, 9001, 94, 82, 6496
2026-09-01T19:21:25.3966184+10:00,81, P0, 170.00, 2085, 9001, 98, 88, 6496
2026-09-01T19:21:25.9877624+10:00,81, P0, 167.73, 2340, 9001, 98, 88, 1396
