timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:20:59.3930222+10:00,71, P0, 120.71, 2340, 9001, 6, 0, 1151
2026-09-01T19:21:00.0091299+10:00,70, P0, 50.83, 2340, 9001, 6, 0, 1364
2026-09-01T19:21:00.6253471+10:00,70, P0, 52.68, 2340, 9001, 36, 1, 5820
2026-09-01T19:21:01.2143661+10:00,70, P0, 53.79, 2340, 9001, 37, 1, 5820
2026-09-01T19:21:01.8130035+10:00,77, P0, 58.36, 1965, 9001, 55, 20, 6490
2026-09-01T19:21:02.4624355+10:00,79, P0, 120.87, 1920, 9001, 100, 28, 6491
2026-09-01T19:21:03.0356562+10:00,78, P0, 169.79, 2100, 9001, 98, 89, 6491
2026-09-01T19:21:03.6247457+10:00,77, P0, 175.67, 2070, 9001, 98, 88, 6496
2026-09-01T19:21:04.2428990+10:00,78, P0, 174.99, 2340, 9001, 98, 89, 1402
