timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:22:05.2373500+10:00,81, P0, 89.74, 2040, 9001, 7, 0, 1157
2026-09-01T19:22:05.8636212+10:00,81, P0, 50.22, 2040, 9001, 7, 0, 1364
2026-09-01T19:22:06.4785906+10:00,81, P0, 49.88, 2040, 9001, 6, 0, 5820
2026-09-01T19:22:07.0652254+10:00,81, P0, 59.13, 2340, 9001, 33, 1, 5820
2026-09-01T19:22:07.6833844+10:00,81, P0, 61.03, 2340, 9001, 30, 1, 8632
2026-09-01T19:22:08.3187365+10:00,88, P0, 87.10, 1845, 9001, 100, 28, 8627
2026-09-01T19:22:08.9245412+10:00,87, P0, 140.74, 1665, 9001, 100, 25, 8632
2026-09-01T19:22:09.5267995+10:00,87, P0, 147.44, 1665, 9001, 99, 24, 8632
2026-09-01T19:22:10.1477208+10:00,87, P0, 146.89, 1665, 9001, 99, 24, 8632
2026-09-01T19:22:10.7406059+10:00,87, P0, 145.59, 1635, 9001, 99, 24, 8632
2026-09-01T19:22:11.3292573+10:00,87, P0, 143.46, 1605, 9001, 99, 23, 8632
2026-09-01T19:22:11.9360253+10:00,87, P0, 141.98, 1590, 9001, 100, 24, 8626
2026-09-01T19:22:12.5407074+10:00,87, P0, 142.08, 1605, 9001, 100, 27, 8626
2026-09-01T19:22:13.1476241+10:00,87, P0, 143.98, 1590, 9001, 99, 34, 8632
2026-09-01T19:22:13.7565080+10:00,87, P0, 146.04, 1590, 9001, 100, 39, 8632
2026-09-01T19:22:14.3636432+10:00,87, P0, 147.40, 1590, 9001, 100, 43, 8632
2026-09-01T19:22:15.0028773+10:00,87, P0, 149.07, 1590, 9001, 99, 49, 8632
2026-09-01T19:22:15.5927867+10:00,87, P0, 149.73, 1605, 9001, 99, 52, 8632
2026-09-01T19:22:16.1966602+10:00,87, P0, 150.33, 1590, 9001, 99, 52, 8626
2026-09-01T19:22:16.8204574+10:00,87, P0, 151.13, 1590, 9001, 100, 54, 8632
2026-09-01T19:22:17.4368191+10:00,87, P0, 151.45, 1590, 9001, 100, 57, 8637
2026-09-01T19:22:18.0551396+10:00,88, P0, 151.60, 1590, 9001, 100, 59, 8640
2026-09-01T19:22:18.6747879+10:00,88, P0, 152.24, 1590, 9001, 99, 60, 8640
2026-09-01T19:22:19.2750702+10:00,88, P0, 153.60, 1590, 9001, 100, 61, 8640
2026-09-01T19:22:19.8799152+10:00,88, P0, 154.13, 1590, 9001, 100, 63, 8638
2026-09-01T19:22:20.4856809+10:00,88, P0, 156.17, 1590, 9001, 100, 69, 8638
2026-09-01T19:22:21.0896728+10:00,88, P0, 156.18, 1590, 9001, 100, 69, 8639
2026-09-01T19:22:21.6967200+10:00,83, P0, 128.28, 2340, 9001, 6, 0, 8640
2026-09-01T19:22:22.3048287+10:00,87, P0, 103.42, 1725, 9001, 98, 76, 8646
2026-09-01T19:22:22.9232390+10:00,87, P0, 131.65, 1590, 9001, 98, 72, 8643
2026-09-01T19:22:23.5128416+10:00,87, P0, 158.09, 1590, 9001, 98, 72, 8639
2026-09-01T19:22:24.1035285+10:00,87, P0, 158.58, 1590, 9001, 99, 73, 8633
2026-09-01T19:22:24.7213301+10:00,87, P0, 158.47, 1590, 9001, 99, 72, 1396
2026-09-01T19:22:25.3747137+10:00,83, P0, 127.80, 2340, 9001, 6, 0, 1157
