timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:20:42.9423695+10:00,66, P0, 137.12, 2355, 9001, 6, 0, 1151
2026-09-01T19:20:43.5417238+10:00,66, P0, 48.80, 2355, 9001, 6, 0, 1358
2026-09-01T19:20:44.1368332+10:00,66, P0, 50.48, 2355, 9001, 35, 1, 5820
2026-09-01T19:20:44.7556564+10:00,66, P0, 51.61, 2355, 9001, 38, 1, 5820
2026-09-01T19:20:45.3776090+10:00,71, P0, 52.85, 1995, 9001, 47, 14, 6490
2026-09-01T19:20:45.9693506+10:00,74, P0, 115.39, 1980, 9001, 99, 30, 6496
2026-09-01T19:20:46.5601601+10:00,73, P0, 167.29, 2160, 9001, 98, 89, 6491
2026-09-01T19:20:47.1817671+10:00,73, P0, 172.08, 2085, 9001, 98, 88, 6491
2026-09-01T19:20:47.8016662+10:00,74, P0, 174.88, 2130, 9001, 98, 88, 1396
