timestamp,temperature_c,pstate,power_w,sm_clock_mhz,memory_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mib
2026-09-01T19:21:04.8629610+10:00,72, P0, 123.19, 2340, 9001, 6, 0, 1164
2026-09-01T19:21:05.4716640+10:00,72, P0, 67.67, 2340, 9001, 7, 0, 1372
2026-09-01T19:21:06.0717706+10:00,72, P0, 53.56, 2340, 9001, 36, 1, 5828
2026-09-01T19:21:06.6750652+10:00,71, P0, 54.64, 2340, 9001, 36, 1, 5828
2026-09-01T19:21:07.2629799+10:00,77, P0, 56.97, 1950, 9001, 49, 17, 6498
2026-09-01T19:21:07.9110914+10:00,80, P0, 113.79, 1920, 9001, 99, 29, 6497
2026-09-01T19:21:08.5334903+10:00,79, P0, 169.03, 2100, 9001, 98, 89, 6497
2026-09-01T19:21:09.1125185+10:00,78, P0, 173.08, 2055, 9001, 98, 88, 6502
2026-09-01T19:21:09.7167315+10:00,79, P0, 175.10, 2340, 9001, 98, 88, 1402
