kv_type,repetitions,prompt_tokens,generated_tokens,median_decode_tokens_per_second,mean_decode_tokens_per_second,stddev_decode_tokens_per_second,cv_percent,kv_allocation_mib,prompt_sha256,source_run_set
f16,3,9622,128,70.480000,70.673333,0.370045,0.5236,2304.00,7f13b774f1854fea4be27ab181b93b0fa0b97c33092b7cc1fd88c02889727b3d,e2e-verbose
q8_0,3,9622,128,69.530000,69.440000,0.353695,0.5094,1224.00,7f13b774f1854fea4be27ab181b93b0fa0b97c33092b7cc1fd88c02889727b3d,e2e-verbose
