"depth","kv_type","repetitions","median_tokens_per_second","mean_tokens_per_second","stddev_tokens_per_second","cv_percent","min_tokens_per_second","max_tokens_per_second"
"512","f16","5","86.40372","86.423629","0.932392","1.0789","85.029455","87.513307"
"512","q8_0","5","84.074","84.051264","0.916056","1.0899","83.035013","85.126646"
"4096","f16","5","81.242049","82.583824","4.615204","5.5885","77.893843","87.791206"
"4096","q8_0","5","83.981136","80.632691","4.883205","6.0561","74.806607","84.559462"
"16384","f16","5","67.218146","66.798582","1.669357","2.4991","63.972047","68.207692"
"16384","q8_0","5","65.092331","64.633175","1.80801","2.7973","62.322463","66.536837"
"32768","f16","5","51.227796","49.163677","4.458545","9.0688","41.259415","51.635104"
"32768","q8_0","5","48.134381","48.155134","1.072716","2.2276","46.593105","49.618873"
